,X,Y,U,V,Sig_x,Sig_y,Sig_xy
0,0.0,0.0,4.2529299999999995e-38,-7.12345e-39,0.844141,-0.145622,-1.41728e-05
1,0.10000000149011612,0.0,0.00127648,-2.1851099999999997e-38,0.8441700000000001,-0.145597,-2.8343000000000003e-05
2,0.20000000298023224,0.0,0.00255303,-2.18398e-38,0.844258,-0.145523,-5.66756e-05
3,0.30000001192092896,0.0,0.0038297,-2.1820899999999999e-38,0.844405,-0.1454,-8.498739999999999e-05
4,0.4000000059604645,0.0,0.00510657,-2.17944e-38,0.8446100000000001,-0.145228,-0.00011326799999999999
5,0.5,0.0,0.00638369,-2.17603e-38,0.844874,-0.145005,-0.000141507
6,0.6000000238418579,0.0,0.00766112,-2.1718400000000002e-38,0.845196,-0.144732,-0.00016969400000000002
7,0.699999988079071,0.0,0.00893893,-2.16687e-38,0.845576,-0.14440899999999998,-0.000197819
8,0.800000011920929,0.0,0.010217200000000001,-2.16112e-38,0.846015,-0.144035,-0.00022587
9,0.8999999761581421,0.0,0.0114959,-2.15457e-38,0.846512,-0.143609,-0.000253838
10,1.0,0.0,0.012775299999999998,-2.14722e-38,0.847066,-0.143131,-0.000281711
11,1.100000023841858,0.0,0.014055200000000002,-2.1390599999999996e-38,0.847678,-0.1426,-0.00030947799999999997
12,1.2000000476837158,0.0,0.015335900000000001,-2.1300599999999997e-38,0.848348,-0.142015,-0.00033713
13,1.2999999523162842,0.0,0.0166172,-2.12023e-38,0.849075,-0.141376,-0.000364654
14,1.399999976158142,0.0,0.017899400000000003,-2.10954e-38,0.849859,-0.140681,-0.000392039
15,1.5,0.0,0.019182499999999998,-2.0979799999999998e-38,0.850699,-0.139929,-0.000419275
16,1.600000023841858,0.0,0.020466400000000003,-2.0855399999999998e-38,0.8515959999999999,-0.13912,-0.00044635
17,1.7000000476837158,0.0,0.0217514,-2.0721900000000004e-38,0.852548,-0.13825199999999999,-0.00047325199999999996
18,1.7999999523162842,0.0,0.0230373,-2.05791e-38,0.853557,-0.137324,-0.0004999690000000001
19,1.899999976158142,0.0,0.024324400000000003,-2.0426999999999998e-38,0.85462,-0.13633499999999998,-0.00052649
20,2.0,0.0,0.0256126,-2.0265099999999997e-38,0.8557389999999999,-0.135283,-0.000552802
21,2.0999999046325684,0.0,0.0269019,-2.00934e-38,0.8569120000000001,-0.134166,-0.000578893
22,2.200000047683716,0.0,0.028192500000000002,-1.9911599999999997e-38,0.858139,-0.132984,-0.0006047509999999999
23,2.299999952316284,0.0,0.0294844,-1.9719499999999998e-38,0.859419,-0.131734,-0.000630362
24,2.4000000953674316,0.0,0.030777699999999998,-1.9516599999999998e-38,0.8607530000000001,-0.130414,-0.000655714
25,2.5,0.0,0.0320723,-1.93029e-38,0.862139,-0.129024,-0.000680794
26,2.5999999046325684,0.0,0.033368300000000004,-1.9078099999999996e-38,0.863576,-0.12756099999999998,-0.0007055869999999999
27,2.700000047683716,0.0,0.034665800000000004,-1.8841699999999999e-38,0.865066,-0.126023,-0.00073008
28,2.799999952316284,0.0,0.035964800000000005,-1.85935e-38,0.866606,-0.12440699999999999,-0.0007542580000000001
29,2.9000000953674316,0.0,0.0372654,-1.83332e-38,0.868196,-0.12271300000000002,-0.000778108
30,3.0,0.0,0.038567500000000005,-1.80604e-38,0.869835,-0.12093699999999999,-0.000801614
31,3.0999999046325684,0.0,0.039871300000000005,-1.77748e-38,0.871524,-0.119077,-0.0008247619999999999
32,3.200000047683716,0.0,0.0411767,-1.7476e-38,0.87326,-0.117131,-0.0008475339999999999
33,3.299999952316284,0.0,0.0424838,-1.71637e-38,0.875044,-0.115096,-0.000869917
34,3.4000000953674316,0.0,0.0437926,-1.6837400000000002e-38,0.8768739999999999,-0.11297,-0.0008918919999999999
35,3.5,0.0,0.045103199999999996,-1.64967e-38,0.878749,-0.11075,-0.0009134439999999999
36,3.5999999046325684,0.0,0.0464155,-1.6141299999999998e-38,0.8806700000000001,-0.10843299999999999,-0.000934555
37,3.700000047683716,0.0,0.0477296,-1.57706e-38,0.882634,-0.10601600000000001,-0.000955207
38,3.799999952316284,0.0,0.0490455,-1.53842e-38,0.884642,-0.103497,-0.000975382
39,3.9000000953674316,0.0,0.0503632,-1.49817e-38,0.886691,-0.100872,-0.000995061
40,4.0,0.0,0.051682799999999994,-1.45626e-38,0.8887809999999999,-0.09813780000000001,-0.00101423
41,4.099999904632568,0.0,0.053004199999999994,-1.41264e-38,0.890912,-0.0952914,-0.00103285
42,4.199999809265137,0.0,0.0543274,-1.36725e-38,0.8930809999999999,-0.0923293,-0.00105093
43,4.300000190734863,0.0,0.0556525,-1.32005e-38,0.895288,-0.08924800000000001,-0.00106842
44,4.400000095367432,0.0,0.056979499999999995,-1.27097e-38,0.897531,-0.08604389999999999,-0.00108532
45,4.5,0.0,0.05830830000000001,-1.2199799999999998e-38,0.89981,-0.0827133,-0.0011016
46,4.599999904632568,0.0,0.059639,-1.1669899999999998e-38,0.902122,-0.07925239999999999,-0.00111723
47,4.699999809265137,0.0,0.060971500000000005,-1.1119700000000001e-38,0.904468,-0.0756572,-0.00113219
48,4.800000190734863,0.0,0.0623058,-1.0548299999999998e-38,0.9068450000000001,-0.0719236,-0.00114646
49,4.900000095367432,0.0,0.06364199999999999,-9.95529e-39,0.9092520000000001,-0.0680474,-0.00116002
50,5.0,0.0,0.0649799,-9.33994e-39,0.911687,-0.0640245,-0.00117282
51,5.099999904632568,0.0,0.0663196,-8.701579999999999e-39,0.91415,-0.05985019999999999,-0.00118486
